ranking,tier,score,companyName,companyType,status,emailVerified,email,city,country,website,sourceUrl
30,A,64,Kostenlose Workshops helfen Betrieben beim systematischen Aufbau von ...,Manufacturer,verified,True,aaron.maier@hwk-mannheim.de,Mannheim,Germany,https://hwk-mannheim.de,"https://www.hwk-mannheim.de/artikel/kostenlose-workshops-helfen-betrieben-beim-systematischen-aufbau-von-cybersicherheit-65,0,7274.html"
31,A,64,Cybersicherheit - MBC - Mobile Business Center Mannheim,Company,verified,True,festnetz@mbc-mannheim.de,Mannheim,Germany,https://mbc-mannheim.de,https://mbc-mannheim.de/cybersicherheit/
32,A,64,ISO-Zertifizierung Mannheim - TechQuattro: Cybersicherheit,Service,verified,True,hallo@techquattro.de,Mannheim,Germany,https://techquattro.de,https://techquattro.de/regio/mannheim/
33,A,64,IT-Security für Unternehmen - Beratung & Lösungen I RAUSYS,Service,verified,True,security@rausys.de,Stuttgart,Germany,https://rausys.de,https://www.rausys.de/it-security/
34,A,64,Managed IT & IT-Sicherheit Stuttgart | Schneider ITK,Service,verified,True,BeratungsslotmitAlexanderSchneiderSchneiderITKSecurity@schneider-itks.de,Stuttgart,Germany,https://schneider-itks.de,https://www.schneider-itks.de/
35,A,64,Ihr IT-Systemhaus in Stuttgart - Persönlich. Sicher. Zukunftsfähig.,Integrator,verified,True,%20info@it-systemhaus-stuttgart.de,Stuttgart,Germany,https://it-systemhaus-stuttgart.de,https://it-systemhaus-stuttgart.de/
36,A,64,Funkwerk Security Solutions Stuttgart | Sicherheitstechnik ...,Manufacturer,verified,True,security@fss.funkwerk.com,Stuttgart,Germany,https://funkwerk-security.de,https://funkwerk-security.de/sicherheitstechnik-stuttgart/
37,A,64,Abteilung Technische Infrastruktur und Sicherheit | Landeshauptstadt Stuttgart,Service,verified,True,poststelle17-assistenzteam@stuttgart.de,Stuttgart,Germany,https://stuttgart.de,https://www.stuttgart.de/organigramm/verwaltungseinheit/abteilung-technische-infrastruktur-und-sicherheit
38,A,64,Anbieterverzeichnis - Marktplatz IT-Sicherheit,Service,verified,True,marktplatz@it-sicherheit.de,Stuttgart,Germany,https://it-sicherheit.de,https://it-sicherheit.de/anbieterverzeichnis/
39,A,64,BURT: Ihr Experte für Cyber-Security in der Region Stuttgart,Company,verified,True,info@burt.de,Stuttgart,Germany,https://burt.de,https://burt.de/it-loesungen/cyber-security/
40,A,64,Dienstleister für Cyber Security / IT Sicherheit in und um Stuttgart,Service,verified,True,service@sicherheitsdienstleister.de,Stuttgart,Germany,https://sicherheitsdienstleister-deutschland.de,https://www.sicherheitsdienstleister-deutschland.de/cyber-security-it-sicherheit/stuttgart
41,A,64,IT Sicherheit - Stuttgart - SCHULTZ Systemhaus,Manufacturer,verified,True,info@schultz-systemhaus.de,Stuttgart,Germany,https://schultz-systemhaus.de,https://www.schultz-systemhaus.de/service/sicherheit/
42,A,57,CSRSM - Die Community Plattform für Cybersecurity in der Region Stuttgart,Company,no-email,False,,Stuttgart,Germany,https://cybersecurity-region-stuttgart.de,https://www.cybersecurity-region-stuttgart.de/
43,A,57,Cybersecurity Region Stuttgart Meetup,Manufacturer,verified,True,partnerships@bendingspoons.com,Stuttgart,Germany,https://meetup.com,https://www.meetup.com/de-de/cybersecurity-stuttgart/
44,A,57,Wie viele offene Stellenangebote gibt es für Cybersecurity Jobs in Karlsruhe?,Company,no-email,False,,Karlsruhe,Germany,https://stepstone.de,https://www.stepstone.de/jobs/cybersecurity/in-karlsruhe
45,A,57,Kontakt - OT - CyberSecurity,Service,verified,True,info@cybershield-consulting.com,Mannheim,Germany,https://cybershield-consulting.com,https://cybershield-consulting.com/kontakt/
46,A,57,bytesec - Cybersecurity & IT-Lösungen | Stuttgart & Böblingen,Service,verified,True,max@firma.de,Stuttgart,Germany,https://bytesec.io,https://bytesec.io/
47,A,54,IT-Sicherheitsberatung Karlsruhe | B2B Firmen & Lieferanten | wlw.de,Manufacturer,no-email,False,,Karlsruhe,Germany,https://wlw.de,https://www.wlw.de/de/suche/it-sicherheitsberatung/karlsruhe
48,B,42,Zentrale Ansprechstelle Cybercrime für Unternehmen und Behörden ...,Company,no-email,False,,Stuttgart,Germany,https://lka.polizei-bw.de,https://lka.polizei-bw.de/zentrale-ansprechstelle-cybercrime/
49,B,42,IT-Sicherheit in Karlsruhe | ProSec GmbH,Service,verified,True,%20info@prosec-networks.com,Karlsruhe,Germany,https://prosec-networks.com,https://www.prosec-networks.com/it-sicherheit/risikomanagement-in-karlsruhe/
50,B,42,House of IT Security - Wibu-Systems,Company,verified,True,info@wibu.com,Karlsruhe,Germany,https://wibu.com,https://www.wibu.com/de/house-of-it-security.html
51,B,42,IT-Security Beratung in Karlsruhe | Makro Factory,Manufacturer,verified,True,info@makrofactory.com,Karlsruhe,Germany,https://makrofactory.com,https://makrofactory.com/de/it-security
52,B,42,Polizei - Zentrale Ansprechstellen Cybercrime der Polizeien für ...,Company,no-email,False,,Karlsruhe,Germany,https://polizei.de,https://www.polizei.de/Polizei/DE/Einrichtungen/ZAC/zac_node.html
53,B,42,EnBW Cyber Security | EnBW,Manufacturer,verified,True,cybersecurity@enbw.com,Karlsruhe,Germany,https://enbw.com,https://www.enbw.com/cyber-security/
54,B,42,Kontakt - CerDat | IT-Sicherheit & Datenschutz,Company,verified,True,info@cerdat.de,Mannheim,Germany,https://cerdat.com,https://www.cerdat.com/kontakt/
55,B,42,Cybersicherheit gemeinsam gestalten - Mannheim.de,Company,no-email,False,,Mannheim,Germany,https://mannheim.de,https://www.mannheim.de/de/nachrichten/cybersicherheit-gemeinsam-gestalten
56,B,42,IT-Sicherheits-Beratung für Unternehmen in Stuttgart | Biteno,Service,verified,True,info@biteno.com,Stuttgart,Germany,https://biteno.com,https://www.biteno.com/it-sicherheits-beratung/
57,B,42,IT-Sicherheit und IT-Security für Unternehmen in Stuttgart,Company,verified,True,support@elevonet.com,Stuttgart,Germany,https://elevonet.com,https://www.elevonet.com/it-sicherheit-it-security/it-sicherheit-it-security-stuttgart/
58,B,42,IT-Sicherheit aus Deutschland » IT-Security-Anbieter NIC Systemhaus,Integrator,verified,True,info@nic-team.com,Stuttgart,Germany,https://nic-team.com,https://www.nic-team.com/it-sicherheit/
59,B,42,IT-Sicherheit - Top 21 Systemhaus GmbH Stuttgart,Integrator,verified,True,info@top21.sh,Stuttgart,Germany,https://top21.sh,https://www.top21.sh/die-geschaeftsbereiche/it-sicherheit.html
60,B,42,IT-Netzwerke & IT-Security | iternas GmbH | Stuttgart,Manufacturer,verified,True,academy@iternas.com,Stuttgart,Germany,https://iternas.com,https://www.iternas.com/
61,B,42,"Schneider ITK & Security GmbH | Schneider in Stuttgart, Baden-Württemberg",Company,no-email,False,,Stuttgart,Germany,https://aenderungsschneiderei-keskin.de,https://aenderungsschneiderei-keskin.de/schneider/schneider-itk-security-gmbh/
62,B,42,Unsere Kontaktdaten | Inside Security GmbH,Company,no-email,False,,Stuttgart,Germany,https://inside-security.de,https://www.inside-security.de/kontakt/
63,B,42,IT-Sicherheit Stuttgart | IT-Forensik – Kurtz Detektei Stuttgart,Service,no-email,False,,Stuttgart,Germany,https://kurtz-detektei-stuttgart.de,https://kurtz-detektei-stuttgart.de/kurtz-detektei-stuttgart/it-sicherheit-it-forensik-stuttgart/
64,B,42,IT Systemhaus Stuttgart | IT Dienstleister | LENZ IT-Systemhaus,Manufacturer,no-email,False,,Stuttgart,Germany,https://lenz-systemhaus.de,https://www.lenz-systemhaus.de/it-systemhaus/stuttgart
65,B,42,Sicherheitstechnik in Stuttgart | Securitas Technology,Company,no-email,False,,Stuttgart,Germany,https://securitas.de,https://www.securitas.de/kontakt/standorte/stuttgart-sicherheitstechnik/
66,B,42,IT-Sicherheit - IHK Region Stuttgart,Company,no-email,False,,Stuttgart,Germany,https://ihk.de,https://www.ihk.de/stuttgart/fuer-unternehmen/innovation/digitale-wirtschaft/internet-recht
67,B,42,Ihr persönlicher IT-Dienstleister in der Technologieregion Karlsruhe,Service,no-email,False,,Karlsruhe,Germany,https://safe4it.de,https://www.safe4it.de/
68,B,42,IT-Dienstleistungen Karlsruhe,Service,no-email,False,,Karlsruhe,Germany,https://tinoullrich.de,http://www.tinoullrich.de/
69,B,42,Beratung IT-Sicherheit Karlsruhe | Moritz Kaumanns IT Security | IT ...,Service,no-email,False,,Karlsruhe,Germany,https://mka-sec.de,https://mka-sec.de/it-security-consulting/karlsruhe/
70,B,42,IT-Service Karlsruhe | Computer & Netzwerk Support | CSE IT,Manufacturer,no-email,False,,Karlsruhe,Germany,https://it-cse.de,https://it-cse.de/it-service-karlsruhe.html
71,B,42,IT-Service Sicherheitsdienst Karlsruhe,Service,no-email,False,,Karlsruhe,Germany,https://reith-it.de,https://reith-it.de/branchen/sicherheitsdienst/standorte/karlsruhe/
72,B,42,IT Sicherheit Mannheim | 4 geprüfte Agenturen - ExpertLocal,Service,no-email,False,,Mannheim,Germany,https://expertlocal.de,https://www.expertlocal.de/it-security/de/baden-wuerttemberg/mannheim
73,B,42,Ihre IT-Beratung in Mannheim für mittelständische Unternehmen.,Service,no-email,False,,Mannheim,Germany,https://gerard.de,https://www.gerard.de/
74,B,42,IT Beratung Mannheim - Contec Systems | IT Experte,Service,no-email,False,,Mannheim,Germany,https://contec-systems.de,https://contec-systems.de/
75,B,42,IT Systemhaus und IT Dienstleister in Mannheim | my esIT Systems GmbH,Integrator,no-email,False,,Mannheim,Germany,https://myesit.de,https://myesit.de/
76,B,42,IT-Dienstleister Mannheim - Solutec,Service,no-email,False,,Mannheim,Germany,https://solutec.de,https://solutec.de/it-dienstleister-mannheim/
77,B,42,Solutec - Managed Services & IT-Outsourcing aus Mannheim,Integrator,no-email,False,,Mannheim,Germany,https://it-dock.de,https://it-dock.de/anbieter/solutec/
